
230,222.12,	(-170.601,-154.257,3.87672)
230,222.66,	(-169.139,-155.858,3.88615)
230,223.191,	(-167.687,-157.42,3.89542)
230,223.731,	(-166.195,-158.994,3.90485)
231,224.292,	(-165.349,-161.31,3.91463)
231,224.832,	(-163.82,-162.862,3.92406)
231,225.372,	(-162.278,-164.399,3.93348)
232,225.932,	(-161.358,-166.696,3.94326)
232,226.472,	(-159.78,-168.21,3.95269)
233,227.032,	(-158.81,-170.495,3.96246)
233,227.564,	(-157.222,-171.96,3.97173)
233,228.106,	(-155.587,-173.441,3.9812)
234,228.668,	(-154.539,-175.709,3.99101)

262,246.383,	(-104.962,-240.056,4.3002)
263,246.937,	(-103.03,-241.979,4.30986)
265,247.505,	(-101.388,-244.838,4.31978)
267,248.074,	(-99.7012,-247.687,4.3297)
268,248.627,	(-97.6706,-249.569,4.33935)
270,249.194,	(-95.9034,-252.394,4.34926)
271,249.74,	(-93.8404,-254.234,4.35879)
273,250.312,	(-91.9737,-257.041,4.36877)
275,250.883,	(-90.0622,-259.834,4.37873)
277,251.454,	(-88.1059,-262.614,4.38869)
278,252.01,	(-85.8604,-264.409,4.39841)
280,252.58,	(-83.8241,-267.158,4.40835)
282,253.15,	(-81.7434,-269.893,4.4183)
284,253.719,	(-79.6182,-272.611,4.42823)
286,254.308,	(-77.3524,-275.341,4.43852)
288,254.883,	(-75.1055,-278.034,4.44856)
290,255.458,	(-72.8141,-280.71,4.45859)
292,256.033,	(-70.478,-283.367,4.46862)
295,256.62,	(-68.267,-286.992,4.47886)
297,257.193,	(-65.8332,-289.612,4.48887)
299,257.767,	(-63.3551,-292.211,4.49888)
302,258.352,	(-60.9741,-295.781,4.50909)
304,258.922,	(-58.4108,-298.336,4.51905)
307,259.495,	(-55.973,-301.854,4.52904)
310,260.067,	(-53.4742,-305.353,4.53902)
312,260.627,	(-50.8114,-307.835,4.5488)
315,261.198,	(-48.2004,-311.29,4.55877)
318,261.769,	(-45.5289,-314.724,4.56872)
321,262.338,	(-42.7972,-318.134,4.57867)
324,262.907,	(-40.0051,-321.521,4.5886)
328,263.479,	(-37.2476,-325.878,4.59858)
0,264.032,	(-0,-0,4.60823)
0,264.574,	(-0,-0,4.61769)
0,265.117,	(-0,-0,4.62716)
329,265.659,	(-24.9021,-328.056,4.63663)
326,266.171,	(-21.7687,-325.272,4.64556)
324,266.693,	(-18.6894,-323.461,4.65467)
321,267.204,	(-15.6564,-320.618,4.6636)
319,267.714,	(-12.7216,-318.746,4.6725)
317,268.231,	(-9.78573,-316.849,4.68151)
314,268.736,	(-6.9246,-313.924,4.69033)
312,269.252,	(-4.0718,-311.973,4.69934)
310,269.768,	(-1.25616,-309.997,4.70834)
308,270.283,	(1.52182,-307.996,4.71733)
305,270.787,	(4.18696,-304.971,4.72612)
303,271.301,	(6.88035,-302.922,4.7351)
301,271.793,	(9.41821,-300.853,4.74368)
299,272.298,	(11.9894,-298.76,4.7525)
298,272.815,	(14.6351,-297.64,4.76152)
296,273.32,	(17.1397,-295.503,4.77033)
294,273.824,	(19.6062,-293.346,4.77913)
292,274.328,	(22.0342,-291.167,4.78792)
290,274.831,	(24.4239,-288.97,4.79671)
289,275.347,	(26.9328,-287.742,4.80572)
287,275.868,	(29.343,-285.496,4.81481)
286,276.395,	(31.8565,-284.22,4.82401)
284,276.909,	(34.1625,-281.938,4.83297)
282,277.422,	(36.4285,-279.637,4.84193)
281,277.949,	(38.8586,-278.3,4.85112)
279,278.461,	(41.0531,-275.963,4.86007)
278,278.988,	(43.43,-274.587,4.86925)
277,279.514,	(45.7845,-273.19,4.87844)
275,280.017,	(47.833,-270.808,4.88722)
274,280.543,	(50.1335,-269.375,4.89639)
273,281.069,	(52.4115,-267.922,4.90557)
272,281.594,	(54.6666,-266.45,4.91475)
270,282.105,	(56.6207,-263.996,4.92366)
270,282.645,	(59.1071,-263.451,4.93309)
268,283.156,	(60.9966,-260.966,4.942)
267,283.681,	(63.1493,-259.425,4.95117)
266,284.213,	(65.3087,-257.858,4.96045)
265,284.738,	(67.4138,-256.282,4.96961)
264,285.262,	(69.4952,-254.689,4.97877)
263,285.787,	(71.5526,-253.079,4.98793)
262,286.312,	(73.5858,-251.454,4.99708)
261,286.836,	(75.5948,-249.813,5.00623)

247,302.253,	(131.812,-208.889,5.2753)
246,302.777,	(133.178,-206.832,5.28446)
246,303.32,	(135.131,-205.562,5.29393)
246,303.862,	(137.071,-204.274,5.3034)
246,304.405,	(138.998,-202.967,5.31286)
246,304.947,	(140.913,-201.642,5.32233)
246,305.494,	(142.832,-200.288,5.33187)
246,306.043,	(144.744,-198.91,5.34146)
246,306.592,	(146.644,-197.513,5.35104)
246,307.141,	(148.53,-196.099,5.36062)
246,307.69,	(150.403,-194.666,5.37021)
246,308.239,	(152.261,-193.216,5.37979)
246,308.789,	(154.106,-191.748,5.38938)
246,309.338,	(155.937,-190.262,5.39896)
246,309.869,	(157.694,-188.808,5.40823)
246,310.407,	(159.46,-187.32,5.41762)
246,310.945,	(161.211,-185.814,5.42701)
246,311.483,	(162.949,-184.292,5.4364)
247,312.038,	(165.398,-183.446,5.4461)
247,312.576,	(167.113,-181.885,5.45548)
247,313.114,	(168.813,-180.308,5.46487)
248,313.67,	(171.244,-179.387,5.47457)
248,314.217,	(172.948,-177.744,5.48411)
248,314.746,	(174.582,-176.14,5.49335)
248,315.275,	(176.201,-174.52,5.50258)
249,315.821,	(178.574,-173.529,5.51212)
249,316.35,	(180.169,-171.873,5.52135)
250,316.896,	(182.529,-170.831,5.53088)
250,317.425,	(184.099,-169.138,5.54011)
250,317.954,	(185.652,-167.431,5.54935)
251,318.503,	(187.995,-166.309,5.55892)
252,319.064,	(190.372,-165.114,5.56872)
252,319.609,	(191.933,-163.297,5.57823)
253,320.17,	(194.292,-162.048,5.58803)
253,320.715,	(195.823,-160.194,5.59753)
254,321.276,	(198.164,-158.894,5.60733)
255,321.837,	(200.497,-157.563,5.61712)
255,322.382,	(201.985,-155.65,5.62663)
256,322.93,	(204.262,-154.315,5.63619)
257,323.497,	(206.585,-152.879,5.6461)
257,324.049,	(208.046,-150.883,5.65572)
258,324.616,	(210.346,-149.394,5.66563)
259,325.184,	(212.636,-147.875,5.67553)
260,325.751,	(214.916,-146.325,5.68543)
261,326.318,	(217.186,-144.745,5.69533)
262,326.885,	(219.446,-143.135,5.70522)
263,327.432,	(221.644,-141.572,5.71477)
263,327.972,	(222.969,-139.476,5.7242)
264,328.528,	(225.164,-137.83,5.73389)
265,329.084,	(227.348,-136.154,5.74359)
267,329.654,	(230.419,-134.893,5.75355)
268,330.209,	(232.583,-133.151,5.76324)
269,330.764,	(234.734,-131.38,5.77293)
270,331.319,	(236.873,-129.58,5.78261)
271,331.865,	(238.979,-127.789,5.79214)
272,332.42,	(241.092,-125.932,5.80183)
274,332.989,	(244.112,-124.439,5.81176)
275,333.544,	(246.2,-122.517,5.82144)
276,334.098,	(248.274,-120.566,5.83111)
277,334.652,	(250.332,-118.587,5.84078)
279,335.22,	(253.311,-116.937,5.8507)
0,335.602,	(0,-0,5.85736)
0,336.133,	(0,-0,5.86663)
268,336.669,	(246.086,-106.139,5.87598)
254,336.984,	(233.78,-99.3115,5.88148)
274,337.828,	(253.74,-103.402,5.89622)
271,338.321,	(251.831,-100.11,5.90481)
268,338.812,	(249.883,-96.8632,5.91338)
264,339.287,	(246.936,-93.3738,5.92167)
261,339.776,	(244.909,-90.2261,5.93021)
258,340.259,	(242.837,-87.1434,5.93864)
255,340.755,	(240.75,-84.0505,5.9473)
253,341.266,	(239.596,-81.256,5.95622)
250,341.76,	(237.439,-78.2493,5.96484)
247,342.253,	(235.245,-75.291,5.97343)
244,342.744,	(233.017,-72.3811,5.98201)
242,343.252,	(231.735,-69.7345,5.99088)
239,343.741,	(229.442,-66.9138,5.99942)
237,344.235,	(228.085,-64.3921,6.00803)
234,344.724,	(225.732,-61.6527,6.01656)
232,345.231,	(224.335,-59.1412,6.02542)
230,345.738,	(222.911,-56.6618,6.03427)
228,346.244,	(221.46,-54.2149,6.0431)
225,346.729,	(218.991,-51.652,6.05156)
223,347.233,	(217.487,-49.2804,6.06036)
221,347.736,	(215.957,-46.9422,6.06915)
219,348.239,	(214.403,-44.6376,6.07792)
217,348.732,	(212.817,-42.4002,6.08653)
