0.188987,2.03696,	8481628018210
0.189358,2.04972,	8481628051752
0.18879,2.06069,	8481628083835
0.188233,2.07156,	8481628114752
0.18767,2.08264,	8481628145960
0.18711,2.09377,	8481628176877
0.186554,2.10494,	8481628208377
0.186002,2.11614,	8481628239585
0.185453,2.12739,	8481628271377
0.185856,2.14044,	8481628302877
0.185316,2.15176,	8481628334377
0.184788,2.16293,	8481628365293
0.184256,2.17432,	8481628397085
0.184679,2.18749,	8481628428585
0.184156,2.19895,	8481628459793
0.183637,2.21045,	8481628491002
0.184076,2.2237,	8481628522793
0.183566,2.23527,	8481628554002
0.184017,2.24855,	8481628585210
0.183526,2.26,	8481628615835
0.183029,2.27173,	8481628647335
0.183495,2.28513,	8481628678543
0.183009,2.29692,	8481628709752
0.184447,2.31194,	8481628740960
0.184934,2.32535,	8481628772168
0.185428,2.33877,	8481628802793
0.186892,2.35368,	8481628834585
0.18741,2.36683,	8481628865793
0.188896,2.38156,	8481628897293
0.189424,2.39483,	8481628928210
0.190927,2.40948,	8481628960002
0.191471,2.42273,	8481628990627
0.192992,2.43729,	8481629036127
0,2.45178,	8481629068502
0,2.46622,	8481629100585
0,2.4808,	8481629132377
0,0,	8481629163585
0,0,	8481629194502
0,0,	8481629226002
0,0,	8481629256918
0,0,	8481629288127
0,2.5303,	8481629319335
0,2.54261,	8481629351127
0,2.5588,	8481629382335
0,2.57377,	8481629414418
0,2.58866,	8481629445043
0,2.60347,	8481629475960
0,2.61821,	8481629506877
0,2.63396,	8481629537793
0,2.64851,	8481629568710
0,2.66298,	8481629600210
0.194107,2.67718,	8481629631418
0.196778,2.69241,	8481629662335
0.198475,2.70659,	8481629693252
0.199195,2.71981,	8481629724752
0.200911,2.73388,	8481629780752
0.202637,2.74789,	8481629814585
0.203383,2.76102,	8481629846085
0.205128,2.77492,	8481629878168
0.205894,2.78784,	8481629909377
0.207655,2.80174,	8481629941168
0.209426,2.81558,	8481629972085
0.211207,2.82935,	8481630019335
0.212004,2.8424,	8481630053460
0.213804,2.85607,	8481630084668
0.215612,2.86967,	8481630115002
0.21743,2.88322,	8481630145918
0.219252,2.89716,	8481630175960
0.221088,2.91074,	8481630206293
0.222933,2.92425,	8481630235752
0.224787,2.93771,	8481630265210
0.227647,2.95159,	8481630293502
0.229521,2.96491,	8481630322668
0.231403,2.97818,	8481630350960
0.234293,2.9918,	8481630380127
0.236195,3.00489,	8481630408710
0.239105,3.0181,	8481630437585
0.242024,3.03122,	8481630465877
0.243954,3.04393,	8481630494460
0.246892,3.05689,	8481630523043
0.249838,3.06978,	8481630551918
0.252794,3.08259,	8481630580210
0.255758,3.09532,	8481630609668
0.25973,3.10808,	8481630639710
0.0683,0,	8481630670043
0.0683,0,	8481630700085
0.0683,0,	8481630730418
0.260706,3.15611,	8481630760752
0.257718,3.16745,	8481630791960
0.255738,3.17903,	8481630822293
0.252764,3.19046,	8481630852918
0.250798,3.20187,	8481630883252
0.248838,3.21345,	8481630914168
0.245885,3.22491,	8481630944502
0.243941,3.23657,	8481630974835
0.242003,3.24827,	8481631076627
0.240073,3.26,	8481631111043
0.237148,3.27163,	8481631142252
0.235232,3.28344,	8481631173460
0.233319,3.29479,	8481631204085
0.231416,3.30647,	8481631235002
0.230522,3.31829,	8481631265335
0.228632,3.33003,	8481631296252
0.22675,3.34182,	8481631326877
0.224876,3.35364,	8481631358085
0.223008,3.3655,	8481631388418
0.22215,3.37744,	8481631419918
0.220302,3.38977,	8481631450835
0.219462,3.402,	8481631481460
0.217627,3.41425,	8481631512377
0.2158,3.42654,	8481631543585
0.214982,3.43884,	8481631574210
0.21317,3.45119,	8481631605418
0.212368,3.46354,	8481631636335
0.211573,3.4759,	8481631667252
0.20978,3.48815,	8481631697877
0.209,3.50054,	8481631729085
0.208228,3.51295,	8481631787418
0.207464,3.52538,	8481631820377
0.205704,3.53795,	8481631851293
0.205957,3.55025,	8481631882793
0.204212,3.56288,	8481631913710
0.203478,3.57536,	8481631945502
0.202754,3.588,	8481631976418
0.202034,3.6005,	8481632023668
0.201321,3.613,	8481632056335
0.200616,3.62552,	8481632088127
0.199918,3.63804,	8481632118460
0.199227,3.65057,	8481632149085
0,3.6631,	8481632180002
0,3.67565,	8481632210627
0,3.68835,	8481632241252
0,3.70135,	8481632272168
0,3.7144,	8481632302793
0,3.7271,	8481632333127
0,0,	8481632363752
0,0,	8481632394377
0,0,	8481632424710
0,0,	8481632455627
